comparison,ground_count,bone_MNI,bray_curtis,pearson,spearman,taxa_compared
Ground 1996–2003 vs Eastern bone estimated years 1996–2003,22028.0,58,0.24241247816258935,0.9192465737247015,0.7316608111801783,14
Ground 1996–2003 vs all Eastern primary bone years,22028.0,293,0.16697736854924322,0.9527385438078406,0.8568302723498215,14
