taxon_rule,taxa_retained,bray_curtis,pearson,spearman,taxa_compared
all matched taxa,15,0.3583189590559114,0.7891085510743526,0.7634457641102765,15
20% bone occurrence,10,0.3514593160829476,0.7490277553885256,0.5393939393939393,10
