sector,taxon,living_change,bone_change
Eastern,Aepyceros melampus,0.07932776231867156,0.0009185980780101743
Eastern,Alcelaphus buselaphus,0.011732561339401825,0.0034624081401922
Eastern,Diceros bicornis,0.006653975380476994,-0.004310344827586207
Eastern,Equus burchellii,-0.13307637382748083,-0.06691633691351051
Eastern,Eudorcas thomsonii,0.07148143597967418,0.07942340305257209
Eastern,Giraffa camelopardalis,-0.05184114741889759,-0.11206896551724138
Eastern,Kobus ellipsiprymnus,-0.0253140806511213,-0.04395138496325608
Eastern,Loxodonta africana,-0.009301675973202656,-0.008620689655172414
Eastern,Nanger granti,-0.018342796558427424,0.044022046353872246
Eastern,Oryx beisa,-0.0006893258230918414,-0.008620689655172414
Eastern,Phacochoerus africanus,0.028000528599983927,0.09758338044092707
Eastern,Redunca redunca,0.00019166529762882647,-0.004310344827586207
Eastern,Syncerus caffer,0.03713165246824379,0.05787167891464105
Eastern,Taurotragus oryx,0.0044733942168760955,-0.034482758620689655
Eastern,Tragelaphus scriptus,-0.00042757534873550036,0.0
Western,Aepyceros melampus,0.13153550456576468,-0.03212385099177552
Western,Alcelaphus buselaphus,-0.017843263556835826,-0.028640541848089014
Western,Diceros bicornis,0.003828743687419427,0.0
Western,Equus burchellii,-0.2693891268643543,0.08427672955974841
Western,Eudorcas thomsonii,0.019266816591595876,-0.0034833091436865006
Western,Giraffa camelopardalis,0.011872987428164155,-0.038413159167876146
Western,Kobus ellipsiprymnus,0.004318925839062025,-0.06289308176100629
Western,Loxodonta africana,0.005687140014817335,-0.025157232704402517
Western,Nanger granti,-0.04050987512015295,-0.01606192549588776
Western,Oryx beisa,5.815813196080142e-05,0.009095307208514756
Western,Phacochoerus africanus,0.020076076922716332,0.060183841315916795
Western,Redunca redunca,-9.112359258461556e-05,0.0
Western,Syncerus caffer,0.13755631261975965,0.07905176584421869
Western,Taurotragus oryx,-0.00639635573331301,-0.019545234639574263
Western,Tragelaphus scriptus,2.907906598040071e-05,-0.006289308176100629
