figure,sector,slope,intercept,pearson,pearson_p,spearman,n_taxa,highlighted_taxa
overall fidelity,OPC,0.9635268526821393,0.0024315431545240407,0.7891085510743526,0.00046967035226171144,0.7634457641102765,15,"EB, AM, SC, PA, GC"
period change,Eastern,0.7265217124972115,-5.7420697122219414e-18,0.669585679998404,0.006322703945424212,0.7567096186811744,15,"PA, GC, NG, AM"
period change,Western,-0.12969939925036222,-1.0542395896457457e-19,-0.27067255539136725,0.32919157266448396,-0.05898125679575892,15,"SC, PA, KE, EB"
