living_method,sector,bone_window,comparisons,adequate_MNI,median_bone_MNI,median_bray_curtis,median_pearson,median_spearman
aerial,Eastern,0,7,6,13.0,0.4505617977528089,0.5615071734677978,0.4731287592220794
aerial,Eastern,1,12,11,22.5,0.452783040022559,0.6157991185986008,0.6212093457241744
aerial,Western,0,5,2,4.0,0.41137175889280675,0.8211116987472887,0.5266447265374886
aerial,Western,1,10,4,6.5,0.3732182310659813,0.8277541032690626,0.5770940781511016
ground,Eastern,0,3,3,23.0,0.3623848987108655,0.8543885519235143,0.6166152825062599
ground,Eastern,1,6,6,25.0,0.3229862492002008,0.8532689965016476,0.674379779734997
