comparison,bray_curtis,pearson,spearman,taxa_compared
OPC overall,0.3583189590559114,0.7891085510743526,0.7634457641102765,15
Eastern: bones vs living,0.38990616811806567,0.6309294914052793,0.8282660838046896,15
Western: bones vs living,0.37751112617199056,0.8205762776535113,0.6678627489605101,15
Eastern bones vs Eastern living,0.38990616811806567,0.6309294914052793,0.8282660838046896,15
Eastern bones vs Western living,0.30117001775627705,0.8335475909464075,0.715564651235153,15
Western bones vs Eastern living,0.4655547137371386,0.5758322602573247,0.7448549693500595,15
Western bones vs Western living,0.37751112617199056,0.8205762776535113,0.6678627489605101,15
