comparison,bray_curtis,pearson,spearman,taxa_compared
all valid ground vs confirmed-label ground,0.10451528093280807,0.9802746872378344,0.9604395604395607,14
confirmed-label ground vs matched-window bone,0.2358203308538617,0.9161213949290378,0.7137608524968712,14
