scenario,comparison,bray_curtis,pearson,spearman,taxa_compared
exclude 2024,OPC overall,0.3583189590559114,0.7891085510743526,0.7634457641102765,15
exclude 2024,Eastern,0.38990616811806567,0.6309294914052793,0.8282660838046896,15
exclude 2024,Western,0.37751112617199056,0.8205762776535113,0.6678627489605101,15
include 2024,OPC overall,0.3493304506931853,0.7984459618954626,0.7634457641102765,15
include 2024,Eastern,0.3791150256183054,0.652369699988136,0.8469144242850437,15
include 2024,Western,0.3738801737910382,0.8227301625693962,0.6678627489605101,15
