dataset,sector,years_interpreted,median_count,richness_min,richness_max,hill_N1_min,hill_N1_max,evenness_min,evenness_max
bones,Eastern,11,23.0,3,11,2.401289214035477,6.917773740509536,0.5365620272587458,0.9394943219420221
bones,Western,6,33.5,6,10,3.1788694227911085,6.940173647251969,0.4769390161971744,0.6940173647251969
living,Eastern,20,2047.5,10,15,5.18815023283157,7.893223458766699,0.4124806164285316,0.6163798680079823
living,Western,17,6507.0,11,14,3.7578438319509853,6.755480824905581,0.34162216654099864,0.5499996744737529
