panel,slope,intercept,pearson,pearson_p,spearman,n_taxa,highlighted_taxa
ground vs bone,1.415728017873307,-0.02969485841952192,0.9192465737247015,3.358086598978456e-06,0.7316608111801783,14,"SC, AM, EB, RR"
ground vs aerial,1.0640379698022564,-0.0045741407001611695,0.8835350091259634,2.7908215681317056e-05,0.7951541850220265,14,"SC, PA, EB, GC"
